sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-A2-A0SU-01,-0.053581446,-0.02657703,0.002786756,-0.033454757,0.009978442,0.00518116,-0.026549272
TCGA-A2-A0SV-01,0.018185807,-0.0031415585,-0.017212002,0.01589774,0.020213243,-0.0133516705,0.013128924
TCGA-A2-A0SW-01,-0.018584643,-0.0012576873,-0.011558721,-0.02109052,0.027269902,-0.017274631,-0.024800833
TCGA-A2-A0SX-01,0.016336845,0.014661185,0.011851406,0.008640319,-0.018603554,0.040070843,-0.0056094658
TCGA-A2-A0SY-01,-0.044465795,-0.010485131,0.054440208,0.008300363,-0.034690596,0.037214078,0.010994332
TCGA-A2-A0T0-01,0.021572243,0.018281665,-0.0060212566,0.017300576,0.010774758,0.020740462,-0.024517514
TCGA-A2-A0T1-01,-0.007652797,-0.03770223,-0.006973333,-0.02583393,-0.03386575,-0.015006362,-0.067919835
TCGA-A2-A0T2-01,0.021227911,-0.007199591,0.04847704,0.0128316805,-0.03770802,0.007095021,-0.062416546
TCGA-A2-A0T3-01,0.009004451,0.018726397,0.0311823,-0.0069231503,-0.02911759,-0.0064881076,-0.024024535
TCGA-A2-A0T4-01,-0.01981002,-0.014361533,0.022125773,-0.011118268,-0.0055886772,0.010756625,-0.018440865
TCGA-A2-A0T5-01,-0.011936583,0.031700414,0.045929484,0.04077582,0.00058412063,0.01580131,0.017971553
TCGA-A2-A0T6-01,0.007100662,0.0061897244,0.0029445956,-0.015583154,-0.012353049,0.020599566,0.001093016
TCGA-A2-A0T7-01,0.03090712,0.04774292,0.013864548,0.028004684,-0.031568952,0.03173865,0.011778548
TCGA-A2-A0YC-01,0.016255379,0.063407965,0.026742717,0.01575473,-0.031071965,2.8512324e-05,0.005924927
TCGA-A2-A0YD-01,-0.019173056,-0.019781591,0.023159511,-0.01337262,-0.0045818277,0.013326442,-0.034692485
TCGA-A2-A0YE-01,0.003942921,0.0040213643,-0.009600795,0.025795473,0.0059930496,-0.06650957,-0.029580785
TCGA-A2-A0YF-01,-0.015260122,0.018175889,-0.04403122,-0.054887205,-0.013700368,-0.0151655665,-0.013938825
TCGA-A2-A0YG-01,0.023183893,0.025789976,0.02907376,0.012416974,-0.01856689,-0.020304576,0.054575384
TCGA-A2-A0YH-01,-0.0018383907,0.017636614,0.024147857,-0.018209394,0.007467104,0.013452366,0.01649359
TCGA-A2-A0YI-01,-0.036544226,-0.00047122268,-0.024303708,-0.013754874,0.03509446,-0.014376374,-0.00760232
TCGA-A2-A0YJ-01,-0.06944517,-0.03813855,-0.032895412,-0.020034693,0.036182683,-0.017757744,-0.008121569
TCGA-A2-A0YK-01,-0.038061764,0.0081387125,0.015958196,0.0075117056,-0.038087253,0.0178272,0.029817648
TCGA-A2-A0YL-01,-0.021799065,-0.019583851,0.01179246,-0.035824407,0.006225542,-0.0022438671,-0.046073418
TCGA-A2-A0YM-01,-0.013822066,0.014732182,0.023959814,0.016512675,0.00209299,-0.0044396226,-0.02753224
TCGA-A2-A0YT-01,-0.05366438,-0.019859074,0.010210065,-0.003758124,-0.00410687,-0.021416686,-0.03311413
TCGA-A2-A1FV-01,-0.01754177,0.003242638,-0.03278499,0.016303897,0.020794168,0.02876632,0.012406585
TCGA-A2-A1FW-01,0.0040084627,-0.013089297,-0.027823277,0.023088746,-0.031549573,0.004322747,-0.019195588
TCGA-A2-A1FX-01,0.0017799232,0.022353036,0.04533466,0.0083775055,0.003509365,-0.022203805,0.0053971624
TCGA-A2-A1FZ-01,-0.028845392,0.0012836615,0.012282077,-0.007706513,0.04205264,-0.01036738,-0.014226479
TCGA-A2-A1G0-01,0.0051747207,0.004779713,0.09123998,0.02634165,0.020973913,-0.019216465,-0.016784502
TCGA-A2-A1G1-01,0.020810764,-0.006790581,-0.010938242,-0.028250644,0.0012848242,-0.009924492,-0.04782532
TCGA-A2-A1G4-01,0.0256881,-0.011532704,0.0028165567,-0.032931384,0.012199682,0.0013456354,-0.07258605
TCGA-A2-A1G6-01,0.015236512,-0.016565401,-0.012739555,0.02590365,-0.034079306,-0.04920514,0.03847121
TCGA-A2-A259-01,-0.00016662618,0.032792136,-0.0032643285,0.015041198,-0.016620947,0.058130987,-0.00055840006
TCGA-A2-A25A-01,0.0012707869,-0.04193619,0.016386997,0.03252022,0.004331934,0.037035674,0.042023513
TCGA-A2-A25B-01,-0.033183727,-0.0026673754,-0.030361347,0.0014337776,-0.034852587,0.031256594,-0.038649358
TCGA-A2-A25C-01,0.029456792,-0.010548019,-0.03247093,0.035105594,0.015443055,-0.017762538,0.05467056
TCGA-A2-A25D-01,0.03633989,0.0016970979,-0.008075831,0.026010223,0.016512968,-0.028539458,0.035149753
TCGA-A2-A25E-01,-0.025672197,-0.018146414,0.017794369,-0.0023114625,0.0013873312,-0.006777671,-0.014725097
TCGA-A2-A25F-01,-0.03310156,0.024000192,-0.052609757,0.018604001,-0.018167943,-0.036851563,-0.03271144
TCGA-A2-A3KC-01,0.034198005,-0.046208587,0.004284915,-0.03499324,-0.014124591,0.019606423,-0.019134816
TCGA-A2-A3KD-01,-0.029430341,-0.004230938,0.04961406,0.016504819,-0.0022954613,0.010443891,-0.040141113
TCGA-A2-A3XS-01,-0.0108967805,0.014938463,-0.011083194,-0.023515087,-0.02843279,0.012221103,-0.019381642
