feature_name,coefficient,coef_lower_95%,coef_upper_95%,z-value,p-value,-log2(p),partial_AIC,C-index
DGCCA_35,2.917564518143076,-0.8866573065568604,6.7217863428430125,1.5031514043173408,0.1328000056539153,2.9126728867802703,2334.590212123991,0.5332344306003672
DGCCA_36,1.764700176415186,-2.1943743404207865,5.723774693251158,0.8736255846099658,0.38232218848020527,1.3871391639237034,2336.1114295549482,0.5305163345125582
DGCCA_37,0.4678323011504072,-3.20386394276482,4.139528545065635,0.24973047881584642,0.8027957861512713,0.3168950508258693,2336.809249459699,0.4978058117459099
DGCCA_38,3.8218827987144133,0.3790627278407901,7.264702869588037,2.1757607090726063,0.02957315805894334,5.0795678755454885,2332.189699408206,0.5708001784398958
DGCCA_39,-0.7726069081853322,-4.412586909122491,2.8673730927518264,-0.4160137456415212,0.677399944901436,0.5619202254016584,2336.698816742044,0.5004305381207789
DGCCA_40,-0.2210657583228398,-4.233650598392168,3.7915190817464883,-0.10798050179552482,0.9140111590769521,0.12971631576736223,2336.8599383724313,0.4815283584567024
DGCCA_41,-1.0655550418281696,-4.992886767609663,2.861776683953324,-0.5317731353881765,0.5948831313043346,0.7493218255398129,2336.5899765451586,0.5288149308545403
DGCCA_42,0.39473675895247484,-3.1930832162417717,3.982556734146721,0.2156378626213074,0.8292700399542716,0.2700861236071857,2336.825106928587,0.5430382504590677
DGCCA_43,-1.3701006458541236,-4.716025587826758,1.9758242961185106,-0.8025726720235293,0.4222217689418323,1.2439271317049039,2336.2373006336443,0.5199655569503376
DGCCA_44,-2.376702904254333,-5.8499647267802795,1.0965589182716133,-1.3411750487910252,0.17986362537460515,2.475024641470244,2335.132591939189,0.5339398906536917
DGCCA_45,0.0,-3.296029807241931,3.296029807241931,0.0,1.0,-0.0,2336.871595090809,0.5
DGCCA_46,-0.7427489437313078,-4.460435220363226,2.97493733290061,-0.3915771990818426,0.6953706377002613,0.5241459449034453,2336.7182212214116,0.5175171955887998
DGCCA_47,-0.45893573417900757,-4.307303287182772,3.3894318188247565,-0.2337348233557417,0.8151908513283448,0.2947902342782509,2336.817093424725,0.5258167256279114
DGCCA_48,0.2241689761074811,-3.4816644193090505,3.930002371524013,0.1185598683862308,0.9056240614147552,0.14301580542053366,2336.8575454031275,0.4956894315859364
DGCCA_49,-1.4746442919755378,-5.277353629075217,2.3280650451241423,-0.760050123758344,0.4472246242293906,1.1609284695962467,2336.2987581255843,0.5265221856812358
DGCCA_50,-1.861989003962669,-5.477102820075402,1.7531248121500635,-1.0094928052087189,0.31273835042067166,1.6769719502351963,2335.8459116706517,0.48440207073274477
DGCCA_51,-3.5145176279161854,-7.274005501125949,0.2449702452935778,-1.8322516805635476,0.06691393238916159,3.9015495589372886,2333.527190499427,0.5350810760340696
DGCCA_52,-1.529697249382331,-5.095518103116245,2.036123604351582,-0.8408026199352865,0.4004585191740708,1.3202752836670666,2336.1702100688804,0.5352989386975963
DGCCA_53,-1.350336991447978,-4.999470998686057,2.298797015790101,-0.7252712191387429,0.4682856586418507,1.0945392390479065,2336.345765475048,0.5204842775777822
DGCCA_54,0.547176323608279,-3.305636352779774,4.3999889999963315,0.2783540175824641,0.7807406137877528,0.357084774891607,2336.7941078638346,0.5118008942743617
DGCCA_55,-0.8672818292679108,-4.689840036529347,2.955276377993526,-0.44468679288704,0.656546114994978,0.6070317470776203,2336.6744568468357,0.5169258540735131
DGCCA_56,1.2224700569469475,-2.504212395451107,4.9491525093450015,0.6429303581400836,0.5202692897268978,0.9426695439562082,2336.4583432509994,0.5172682096876264
DGCCA_57,2.3426186303896777,-1.5635956935942006,6.248832954373556,1.175421460334409,0.2398261419051127,2.059939168657048,2335.4874308563985,0.5182226556421242
DGCCA_58,-1.191976295116004,-4.954301277512581,2.5703486872805725,-0.620953963249791,0.5346299139295345,0.903387532520725,2336.4856387858085,0.5096430164641927
DGCCA_59,2.646864721019883,-1.0446079276109974,6.3383373696507626,1.4053360322397894,0.15992137852214894,2.64456528160854,2334.9404695302783,0.5130250749551306
DGCCA_60,-1.5819263184248207,-5.313142004499398,2.1492893676497564,-0.8309674034337555,0.4059920440463981,1.3004766387263436,2336.1759365746716,0.4988951250635433
DGCCA_61,-0.5340169602313276,-4.4473896265135355,3.3793557060508808,-0.26745574685615237,0.7891182823177808,0.34168653036030644,2336.799961083684,0.5359629011007252
DGCCA_62,1.5436554666399265,-2.2665653461707236,5.353876279450576,0.7940508615617025,0.4271658223620486,1.2271318736139973,2336.241374873728,0.5404550217343943
DGCCA_63,2.076553408819158,-1.8575777499729664,6.010684567611283,1.034528267865124,0.30088926876937994,1.732695441088416,2335.801091064552,0.5472295131288191
DGCCA_64,0.4440633227302564,-3.08051570415552,3.968642349616032,0.24693675833834422,0.8049571679982882,0.3130160758345887,2336.8107029857624,0.4948698529945742
DGCCA_65,-2.4874748296647256,-6.032237427639809,1.057287768310358,-1.3753702663692562,0.1690166822640378,2.5647624446413864,2334.9862308753554,0.5341266300795717
